Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,10,kodim01.png,0.440185546875,24.763982021723677,0.9169235229492188,0.4346061944961548,54.52246256239601,1152.0,21.12890625
Kodak,JPEG,20,kodim01.png,0.70989990234375,26.913721107967667,0.9548368453979492,0.2870875597000122,33.80758318287336,1152.0,34.0751953125
Kodak,JPEG,30,kodim01.png,0.9232991536458334,28.212619567059644,0.971153199672699,0.21995411813259125,25.993742012251552,1152.0,44.318359375
Kodak,JPEG,40,kodim01.png,1.0950520833333333,29.070303105929046,0.9768964648246765,0.18320664763450623,21.916765755053508,1152.0,52.5625
Kodak,JPEG,50,kodim01.png,1.2576497395833333,29.833070420689847,0.9815747141838074,0.15747593343257904,19.083214701695354,1152.0,60.3671875
Kodak,JPEG,60,kodim01.png,1.43621826171875,30.583399445493207,0.9848260879516602,0.13428328931331635,16.710552037737454,1152.0,68.9384765625
Kodak,JPEG,70,kodim01.png,1.7090250651041667,31.657880448691994,0.9882432818412781,0.10732404887676239,14.04309421204257,1152.0,82.033203125
Kodak,JPEG,80,kodim01.png,2.150146484375,33.33548780436847,0.9918999671936035,0.07712259888648987,11.162030203247417,1152.0,103.20703125
Kodak,JPEG,90,kodim01.png,3.1559244791666665,36.826748620768356,0.9958476424217224,0.03947709500789642,7.604744713769985,1152.0,151.484375
Kodak,JPEG,10,kodim02.png,0.22810872395833334,27.822603072857742,0.8338625431060791,0.5232455730438232,105.21298608633607,1152.0,10.94921875
Kodak,JPEG,20,kodim02.png,0.3523356119791667,29.97130575639146,0.8994046449661255,0.40534403920173645,68.11687261808522,1152.0,16.912109375
Kodak,JPEG,30,kodim02.png,0.4756266276041667,31.19571774114351,0.9272274374961853,0.33328327536582947,50.459748481478314,1152.0,22.830078125
Kodak,JPEG,40,kodim02.png,0.5814005533854166,32.00564386271263,0.942309558391571,0.28452879190444946,41.279630472057946,1152.0,27.9072265625
Kodak,JPEG,50,kodim02.png,0.6906534830729166,32.71341037383991,0.9537667632102966,0.24780336022377014,34.74969805873862,1152.0,33.1513671875
Kodak,JPEG,60,kodim02.png,0.813720703125,33.361216730934,0.9606881141662598,0.22157368063926697,29.494149414941493,1152.0,39.05859375
Kodak,JPEG,70,kodim02.png,0.9974568684895834,34.24179546114652,0.9691165685653687,0.18338805437088013,24.061190772431516,1152.0,47.8779296875
Kodak,JPEG,80,kodim02.png,1.30157470703125,35.45614597880504,0.9776232242584229,0.13507825136184692,18.439202813599064,1152.0,62.4755859375
Kodak,JPEG,90,kodim02.png,2.0316975911458335,37.80183564253056,0.9868369102478027,0.07944945245981216,11.812781638661352,1152.0,97.521484375
Kodak,JPEG,10,kodim03.png,0.23966471354166666,28.511094188122946,0.888133704662323,0.5504661798477173,100.13989813242785,1152.0,11.50390625
Kodak,JPEG,20,kodim03.png,0.3509114583333333,31.32821745219058,0.9426412582397461,0.44153448939323425,68.39332096474953,1152.0,16.84375
Kodak,JPEG,30,kodim03.png,0.4487101236979167,32.67329116152239,0.9601826667785645,0.3700471520423889,53.4866470188166,1152.0,21.5380859375
Kodak,JPEG,40,kodim03.png,0.53253173828125,33.58555250369886,0.9688770174980164,0.31295016407966614,45.06773638968481,1152.0,25.5615234375
Kodak,JPEG,50,kodim03.png,0.6139119466145834,34.40450705683269,0.975237250328064,0.2729971408843994,39.09355426677713,1152.0,29.4677734375
Kodak,JPEG,60,kodim03.png,0.7028401692708334,35.090233289045415,0.9793083071708679,0.24144381284713745,34.14716609737741,1152.0,33.736328125
Kodak,JPEG,70,kodim03.png,0.84222412109375,36.0566663385715,0.9835546016693115,0.206034317612648,28.495977969418075,1152.0,40.4267578125
Kodak,JPEG,80,kodim03.png,1.0666910807291667,37.46986578952084,0.9883207082748413,0.16792026162147522,22.499485027655922,1152.0,51.201171875
Kodak,JPEG,90,kodim03.png,1.6146036783854167,39.93310977702271,0.992889404296875,0.115373395383358,14.864328826501682,1152.0,77.5009765625
Kodak,JPEG,10,kodim04.png,0.26336669921875,27.731172627905156,0.8638670444488525,0.5456104874610901,91.12769409038239,1152.0,12.6416015625
Kodak,JPEG,20,kodim04.png,0.408447265625,30.25337398855829,0.9286865592002869,0.38657692074775696,58.759115361625824,1152.0,19.60546875
Kodak,JPEG,30,kodim04.png,0.5374959309895834,31.526660838719266,0.9505075216293335,0.30843430757522583,44.65150081380824,1152.0,25.7998046875
Kodak,JPEG,40,kodim04.png,0.6474812825520834,32.412221837859775,0.9616190791130066,0.2618550658226013,37.066708562450906,1152.0,31.0791015625
Kodak,JPEG,50,kodim04.png,0.7531331380208334,33.122620961039395,0.9695252180099487,0.22686278820037842,31.86687557404506,1152.0,36.150390625
Kodak,JPEG,60,kodim04.png,0.87066650390625,33.727972988889704,0.9738640785217285,0.2022143006324768,27.56508937960042,1152.0,41.7919921875
Kodak,JPEG,70,kodim04.png,1.0516153971354167,34.58402884854128,0.9792768359184265,0.17237523198127747,22.822031766913657,1152.0,50.4775390625
Kodak,JPEG,80,kodim04.png,1.3533732096354167,35.85519243802753,0.9851169586181641,0.13433775305747986,17.73346762676448,1152.0,64.9619140625
Kodak,JPEG,90,kodim04.png,2.0749715169270835,38.27015589898531,0.9913517832756042,0.0801406279206276,11.566423830020884,1152.0,99.5986328125
Kodak,JPEG,10,kodim05.png,0.5045166015625,23.888786254429903,0.9158427119255066,0.3915902078151703,47.57028792644568,1152.0,24.216796875
Kodak,JPEG,20,kodim05.png,0.8000081380208334,26.236325572358233,0.9584550857543945,0.2605286240577698,29.999694827323125,1152.0,38.400390625
Kodak,JPEG,30,kodim05.png,1.0374755859375,27.606100353979848,0.9712099432945251,0.20501825213432312,23.133074479350512,1152.0,49.798828125
Kodak,JPEG,40,kodim05.png,1.22869873046875,28.623703826651173,0.9779510498046875,0.1691991686820984,19.532859768516218,1152.0,58.9775390625
Kodak,JPEG,50,kodim05.png,1.4068603515625,29.465768255257228,0.9821733236312866,0.14365120232105255,17.05926247288503,1152.0,67.529296875
